"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"390pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C2";"680pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C3";"390pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C4";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C5";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C6";"1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C7";"1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C8";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C9";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C10";"4.7uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C11";".33uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C12";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C13";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C14";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C15";"4.7uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C16";".1uF";"CAPPTH1";"CAP-PTH-5MM";"Capacitor";"";"";
"C17";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C18";".001uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C19";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C20";"4.7uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C21";".1uF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";
"C22";"10uF";"CAP_POLPTH2";"CPOL-RADIAL-10UF-25V";"Capacitor Polarized";"";"";
