"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"1";"";"78LXX";"78LXX";"IC4";"VOLTAGE REGULATOR";"";"";
"1";"";"M02PTH";"1X02";"JP4";"Header 2";"";"";
"3";"";"M03PTH";"1X03";"JP5, JP6, PROGRAM";"Header 3";"";"";
"2";"";"M04PTH";"1X04";"JP11, SV1";"Header 4";"";"";
"1";"";"M05PTH";"1X05";"JP8";"Header 5";"";"";
"2";"";"M06SILK_FEMALE_PTH";"1X06";"JP1, JP2";"Header 6";"CONN-08437";"";
"1";"";"SOLDERJUMPER_2WAYW";"SJ_2W";"SJ2";"Solder Jumper";"";"";
"1";".001uF";"CAPPTH";"CAP-PTH-SMALL";"C18";"Capacitor";"";"";
"1";".01uF";"CAPPTH";"CAP-PTH-SMALL";"C27";"Capacitor";"";"";
"11";".1uF";"CAPPTH";"CAP-PTH-SMALL";"C4, C5, C8, C9, C12, C13, C14, C17, C19, C21, C23";"Capacitor";"";"";
"1";".1uF";"CAPPTH1";"CAP-PTH-5MM";"C16";"Capacitor";"";"";
"3";".33uF";"CAPPTH";"CAP-PTH-SMALL";"C11, C28, C29";"Capacitor";"";"";
"1";"0";"R-US_0207/2V";"0207/2V";"R6";"RESISTOR, American symbol";"";"";
"2";"100K";"R-US_0207/2V";"0207/2V";"R4, R5";"RESISTOR, American symbol";"";"";
"1";"10K";"R-TRIMM3296W";"RTRIM3296W";"R10";"Trimm resistor";"";"";
"1";"10k";"R-US_0207/2V";"0207/2V";"R14";"RESISTOR, American symbol";"";"";
"1";"10uF";"CAP_POLPTH2";"CPOL-RADIAL-10UF-25V";"C22";"Capacitor Polarized";"";"";
"1";"1N4007";"DIODEPTH";"DIODE-1N4001";"D1";"Diode";"";"";
"1";"1k";"R-US_0207/2V";"0207/2V";"R12";"RESISTOR, American symbol";"";"";
"2";"1uF";"CAPPTH";"CAP-PTH-SMALL";"C6, C7";"Capacitor";"";"";
"4";"1uH";"INDUCTOR1210";"1210";"U$3, U$4, U$5, U$6";"Inductors";"";"";
"1";"2N2222";"TRANSISTOR_NPNTO92";"TO-92";"Q2";"Transistor NPN";"";"";
"4";"330";"R-US_0207/2V";"0207/2V";"R8, R9, R15, R16";"RESISTOR, American symbol";"";"";
"4";"390pF";"CAPPTH";"CAP-PTH-SMALL";"C1, C3, C24, C26";"Capacitor";"";"";
"1";"4.7K";"R-US_0207/2V";"0207/2V";"R18";"RESISTOR, American symbol";"";"";
"3";"4.7uF";"10UF-16V-10%(TANT)";"EIA3216";"C10, C15, C20";"CAP-00811";"CAP-00811";"10uF";
"1";"47K";"R-US_0207/2V";"0207/2V";"R11";"RESISTOR, American symbol";"";"";
"1";"5.1K";"R-US_0207/2V";"0207/2V";"R17";"RESISTOR, American symbol";"";"";
"2";"5k";"R-US_0207/2V";"0207/2V";"R2, R3";"RESISTOR, American symbol";"";"";
"1";"6.8k";"R-US_0207/2V";"0207/2V";"R13";"RESISTOR, American symbol";"";"";
"2";"680pF";"CAPPTH";"CAP-PTH-SMALL";"C2, C25";"Capacitor";"";"";
"1";"74HCT125N";"74HCT125N";"DIL14";"IC2";"Quad bus BUFFER, 3-state";"";"";
"1";"74HCT125N";"74LS125N";"DIL14";"IC1";"Quad bus BUFFER, 3-state";"";"";
"2";"75";"R-US_0207/2V";"0207/2V";"R1, R7";"RESISTOR, American symbol";"";"";
"1";"78L05";"V_REG_78XXSINK";"TO220-IGO";"IC3";"Voltage Regulator";"";"";
"1";"78L09";"78LXX";"78LXX";"IC5";"VOLTAGE REGULATOR";"";"";
"1";"BLUE";"LED3MM";"LED3MM";"LED4";"LED";"";"";
"1";"G2XX3---N20";"G2XX3---N20";"N20";"U$1";"MSP430G2XX1";"";"";
"1";"GREEN";"LED3MM";"LED3MM";"LED2";"LED";"";"";
"1";"LMC6482DIL";"LMC6482DIL";"DIL08";"U1";"Dual Op-Amp";"";"";
"4";"M02PTH";"M02PTH";"1X02";"JP3, JP7, JP9, JP10";"Standard 2-pin 0.1" header. Use with";"";"";
"2";"MAR-4";"MAR-4";"VV105";"U2, U3";"MAR-4 is a MMIC with 8dB of gain to 1GHZ";"";"";
"1";"RED";"LED3MM";"LED3MM";"LED3";"LED";"";"";
"1";"YELLOW";"LED3MM";"LED3MM";"LED1";"LED";"";"";
